Study Name,Year,No. of,No of,Drug,Sponsor,No.,Mean,%,Dose,Dosing,Mean,Baseline,Mean,Length,Diagno,Recruitmen,Multi/,Treatment,Patient,Placeb,Rescue,,
Dunbar 1993b,1993,2,2,paroxetine,Yes,36,34.5,0.41,20‐50,Flexible,*,HAMD 21,25.00,6,DSM‐III,North,Single,Secondary,Outpatients,Yes,Unclear,,
Dunbar 1993c,1993,2,2,paroxetine,Yes,39,44.9,0.46,20‐50,Flexible,*,HAMD 21,28.60,6,DSM‐III,North,Single,Secondary,Outpatients,Yes,Unclear,,
Dunbar 1993d,1993,2,2,paroxetine,Yes,40,34.9,0.41,20‐50,Flexible,*,HAMD 21,28.80,6,DSM‐III,North,Single,Secondary,Outpatients,Yes,Unclear,,
Dunlop 2011,2011,2,2,desvenlafaxi,Yes,291,43.2,0.66,50‐50,Fixed,50,HAMD 17,22,12,DSM‐IV,North,Multi‐,Secondary,Outpatients,Unclear,Yes,,
Dunner 1992,1992,4,5,paroxetine,Yes,106,41.6,*,20‐20,Fixed,20,HAMD 21,25.19,6,DSM‐III,North,Multi‐,Other/Unc,Outpatients,Unclear,Unclear,,
E‐1569,unpublis,2,2,mirtazapine,Yes,73,46.5,0.68,30‐45,Flexible,*,HAMD 17,24.60,6,DSM‐IV,Europe,Multi‐,Other/Unc,Outpatients,Yes,Unclear,,
Edwards 1989,1989,2,2,paroxetine,Yes,21,45.1,0.55,30‐30,Fixed,30,HAMD 17,26.80,6,DSM‐III,Europe,Single,Secondary,Outpatients,Unclear,Yes,,
Ekselius 1997,1997,2,2,citalopram,No,200,48.1,*,20‐60,Flexible,34,MADRS,28.30,12,DSM‐,Europe,Multi‐,Primary,Outpatients,Yes,No,,
Faber 1995,1995,4,4,sertraline,Yes,95,37 (*),0.51,50‐50,Fixed,50,HAMD17,24.80,6,DSM‐III,North,Multi‐,Other/Unc,Outpatients,Yes,Yes,,
Fabre 1979,1979,2,3,trazodone,Yes,13,*,*,200‐300,Flexible,287,HAMD,*,4,Other,North,Unclear,Secondary,Unclear,Yes,Yes,,
Fabre 19,96,1996,2,3,fluvoxamine,Yes,50,45 (*),*,50‐150,Flexible,119,HAMD 21,27.70,6,DSM‐,North,Single,Secondary,Outpatients,Yes,Yes,
Fava 199,8,1998,3,3,paroxetine,Yes,55,41.3,*,20‐50,Flexible,*,HAMD 21,23.10,12,DSM‐,North,Multi‐,Unclear,Outpatients,Yes,Unclear,
Fava 200,2,2002,3,3,sertraline,No,96,44,*,50‐200,Flexible,108,HAMD 17,21.00,10,DSM‐IV,North,Multi‐,Secondary,Outpatients,Yes,Yes,
Fava 200,5,2005,2,3,placebo,No,43,37.8,*,0‐0,Fixed,0,HAMD 17,19.90,12,DSM‐IV,North,Multi‐,Secondary,Outpatients,Yes,Unclear,
Fawcett 1,989,1989,2,2,amitriptyline,No,20,44.5,*,50‐200,Flexible,*,HAMD 21,23.50,6,DSM‐III,North,Multi‐,Secondary,Outpatients,Yes,Yes,
Feiger 19,96,1996,2,2,nefazodone,Yes,78,44.5,0.55,100‐600,Flexible,456,HAMD 17,23.30,6,DSM‐,North,Multi‐,Other/Unc,Outpatients,Unclear,Yes,
Feighner,1979,1979,2,4,amitriptyline,No,93,40.9,*,100‐150,Flexible,115,HAMD 24,36,4,Feighne,North,Multi‐,Secondary,Outpatients,Yes,Unclear,
Feighner,1980,1980,2,3,trazodone,Yes,19,*,0.65,200‐600,Flexible,313,HAMD,35.40,4,Feighne,North,Unclear,Secondary,Inpatients,Yes,Unclear,
Feighner 1984,1984,2,2,bupropion,Yes,45,43.9,*,300‐600,Flexible,392,HAMD,21,31.00,4,Feighne,North,Unclear,Secondary,Inpatients,No,Yes,
Feighner 1989a,1989,2,3,placebo,No,59,39.7,*,0‐0,Flexible,0,HAMD,21,25.90,6,DSM‐III,North,Single,Unclear,Outpatients,Yes,Unclear,
Feighner 1989b,1989,2,3,fluvoxamine,Unclear,31,41 (*),*,150‐300,Flexible,145,HAM,D,25.00,6,DSM‐III,North,Unclear,Secondary,Inpatients,No,Unclear,
Feighner 1991,1991,2,2,fluoxetine,No,62,42.9,*,20‐80,Flexible,38,HAMD,17,26.10,6,DSM‐,North,Multi‐,Unclear,Outpatients,Yes,Unclear,
Feighner 1993a,1993,2,3,paroxetine,Yes,40,42.6,0.56,10‐50,Flexible,26,HAMD,21,24.80,6,DSM‐III,North,Single,Secondary,Outpatients,Yes,Unclear,
Feighner 1993b,1993,2,3,paroxetine,Yes,40,42.3,0.69,10‐50,Flexible,31,HAMD,21,25.60,6,DSM‐III,North,Single,Secondary,Outpatients,Yes,Unclear,
Feighner 1993c,1993,2,3,paroxetine,Yes,41,39.8,0.61,10‐50,Flexible,*,HAMD,21,25.60,6,DSM‐III,North,Single,Secondary,Outpatients,Yes,Unclear,
Feighner 1993d,1993,2,3,paroxetine,Yes,40,38 (*),0.33,10‐50,Flexible,40,HAMD,21,27.60,6,DSM‐III,North,Single,Unclear,Outpatients,Yes,Unclear,
Feighner 1993e,1993,2,3,paroxetine,Yes,40,43.5,0.41,10‐50,Flexible,38,HAMD,21,25.60,6,DSM‐III,North,Single,Unclear,Outpatients,Yes,Unclear,
Feighner 1993f,1993,2,3,paroxetine,Yes,40,35.6,0.55,10‐50,Flexible,35,HAMD,21,29.70,6,DSM‐III,North,Single,Unclear,Outpatients,Yes,Unclear,
Feighner 1998,1998,2,2,nefazodone,Yes,61,37.2,0.61,400‐600,Flexible,503,HAMD,17,27.50,6,DSM‐,North,Multi‐,Secondary,Inpatients,Unclear,Yes,
Feighner 1999,1999,4,5,citalopram,Yes,130,39 (*),0.66,20‐20,Fixed,20,HAMD,21,24.24,6,DSM‐,North,Multi‐,Unclear,Outpatients,Yes,Yes,
Fontaine 1994,1994,3,4,nefazodone,Yes,46,39.9,0.61,50‐250,Flexible,242,HAMD,17,25.20,6,RDC,North,Single,Secondary,Outpatients,Yes,Yes,
Frank 2004,2004,2,2,citalopram,Yes,8,39.12,0.25,20‐20,Fixed,20,*,,*,4,DSM‐IV,North,Single,Secondary,Outpatients,No,Unclear,
Fudge 1990,1990,2,2,fluoxetine,Unclear,21,*,*,20‐60,Flexible,*,HAM,D,23.20,6,DSM‐III,North,Single,Secondary,Outpatients,Yes,Unclear,
Gagiano 1993,1993,2,2,paroxetine,Yes,45,37.8,*,20‐40,Flexible,*,HAMD,21,25.00,6,DSM‐III,Africa,Single,Unclear,Outpatients,Yes,Unclear,
Gastpar 2006,2006,2,3,citalopram,No,127,49.3,0.65,20‐20,Fixed,20,HAM,D,21.80,6,DSM‐IV,Europe,Multi‐,Primary,Outpatients,Unclear,Unclear,
Gelenberg 1990,1990,2,3,amitriptyline,No,19,*,*,50‐350,Flexible,114,HAMD,21,24.84,6,DSM‐III,North,Single,Secondary,Outpatients,Yes,Yes,
Gentil 2000,2000,2,2,venlafaxine,Yes,57,37.9,*,75‐150,Flexible,103,HAMD,21,23.90,8,DSM‐IV,South,Multi‐,Unclear,Outpatients,Yes,Yes,
Georgotas 1982,1981,2,3,amitriptyline,No,15,36.1,*,150‐300,Flexible,206,HAMD,21,28.5,4,RDC,North,Unclear,Unclear,Other/Unclea,Unclear,Unclear,
Geretsegger,1995,2,2,paroxetine,Yes,44,71 (*),*,20‐30,Flexible,*,HAMD,21,26.80,6,DSM‐III,Europe,Multi‐,Unclear,Inpatients,No,Unclear,
Gerner 1980,1980,2,3,trazodone,Yes,19,68.4,0.62,100‐400,Flexible,305,HAM,D,27.38,4,RDC,North,Unclear,Unclear,Outpatients,Unclear,Unclear,
Gillin 1997,1997,2,2,nefazodone,Yes,24,35.3,0.67,400‐500,Flexible,435,HAMD,17,22.90,8,DSM‐,North,Multi‐,Unclear,Outpatients,Unclear,Unclear,
Ginestet 1989,1989,2,2,fluoxetine,Unclear,28,46.5,0.71,20‐80,Flexible,58,HAMD,21,33.10,8,DSM‐III,Europe,Multi‐,Secondary,Inpatients,Unclear,Yes,
Golden 2002a,2002,3,3,paroxetine,Yes,106,38.9,*,25‐62.5,Flexible,*,HAMD,17,23.00,12,DSM‐IV,North,Multi‐,Unclear,Outpatients,Yes,Unclear,
Golden 2002b,2002,3,3,paroxetine,Yes,108,42.38,*,25‐62.5,Flexible,*,HAMD,17,23.80,12,DSM‐IV,North,Multi‐,Unclear,Outpatients,Yes,Unclear,
Goldstein 2002,2002,3,3,duloxetine,Yes,70,42.33,*,40‐120,Flexible,*,HAMD,17,18.47,10,DSM‐IV,North,Multi‐,Unclear,Outpatients,Yes,Unclear,
Goldstein,2004,4,4,duloxetine,Yes,91,43.36,*,40‐40,Fixed,40,HAMD,17,17.47,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Yes,Unclear,
Goldstein,2004,4,4,duloxetine,Yes,86,40.69,*,40‐40,Fixed,40,HAMD,17,18.63,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Yes,Unclear,
Gommoll 2014,2014,2,2,placebo,No,182,43.7,0.64,0‐0,Flexible,0,HAMD,17,24.40,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Yes,Unclear,
Goodarzi,2015,2,2,mirtazapine,Unclear,24,38,0.79,30‐30,Fixed,30,HAM,D,30.58,8,DSM‐IV,Asia,Multi‐,Secondary,Both,Unclear,Unclear,
Gorman 2002,2002,3,3,escitalopram,Yes,129,41.4,*,10‐20,Flexible,*,HAM,D,24.80,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Yes,Unclear,
Griebel 2012,2012,2,4,escitalopram,No,84,40.8,0.62,10‐10,Fixed,10,HAMD,17,23.40,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Yes,Unclear,
Griebel 2012b,2012,2,4,paroxetine,No,80,40,0.70,20‐20,Fixed,20,HAMD,17,24.90,8,DSM‐IV,Cross‐,Multi‐,Unclear,Outpatients,Yes,Unclear,
Grunebaum,2011,2,2,bupropion,Yes,40,37.9,*,300‐450,Flexible,275,HAMD,17,17.60,24,DSM‐IV,North,Single,Secondary,Both,No,Yes,
GSK14,unpublis,2,2,bupropion,Yes,77,45.9,*,300‐600,Flexible,*,HAMD,21,31.20,4,DSM‐III,North,Multi‐,Unclear,Inpatients,No,Unclear,
Guelfi 1995,1995,2,2,venlafaxine,Yes,46,56,*,150‐375,Flexible,350,HAMD,21,28.20,4,DSM‐,Europe,Multi‐,Secondary,Inpatients,Yes,Yes,
Guelfi 1998,1998,3,3,milnacipran,Yes,100,45.6,*,100‐100,Fixed,100,HAMD,17,27.90,12,DSM‐,Europe,Multi‐,Secondary,Inpatients,Yes,Yes,
Guillibert 1989,1989,2,2,clomipramin,No,39,68.1,*,75‐75,Fixed,75,HAMD,21,27.50,6,DSM‐III,Europe,Multi‐,Unclear,Unclear,Yes,Yes,
Hackett 1998,1998,2,2,fluvoxamine,No,34,*,*,200‐200,Fixed,200,MADR,S,31.60,6,DSM‐,Europe,Multi‐,Unclear,Outpatients,No,Unclear,
Hale 2010 (CL3‐,2008,2,2,agomelatine,Yes,252,41.8,0.77,25‐50,Flexible,*,HAMD,17,28.50,24,DSM‐IV,Cross‐,Multi‐,Primary,Outpatients,No,No,
Halikas 1995,1995,3,3,mirtazapine,Yes,50,63 (*),0.43,5‐35,Flexible,29,HAMD,21,24.60,6,DSM‐III,North,Unclear,Unclear,Outpatients,Yes,Yes,
Hao 2014,2014,2,2,duloxetine,Yes,140,38.4,0.56,60‐60,Fixed,60,HAMD,17,23.70,6,DSM‐IV,Asia,Multi‐,Both,Both,No,Yes,
Harris 1991,1991,2,2,fluvoxamine,Unclear,35,38.6,0.63,50‐150,Flexible,115,HAMD,17,22.70,6,DSM‐III,Europe,Multi‐,Secondary,Outpatients,Yes,Yes,
Heiligenstein,1994,2,2,fluoxetine,Yes,46,41.6,*,20‐20,Fixed,20,HAMD,17,21.10,8,DSM‐,North,Multi‐,Secondary,Outpatients,Yes,Yes,
Heller 2009,2009,2,2,venlafaxine,Yes,15,30.74,0.53,75‐300,Flexible,118,HAMD,21,20.07,24,DSM‐IV,North,Unclear,/Unclear,Other/Unclea,Unclear,Unclear,
Henigsberg,2012,3,4,placebo,No,140,46.4,0.61,0‐0,Fixed,0,HAMD,24,32.70,8,DSM‐IV,Cross‐,Multi‐,Unclear,Unclear,Unclear,Unclear,
Heun 2013,2013,2,2,agomelatine,Yes,151,71.9,0.70,25‐50,Flexible,*,HAMD,17,26.80,8,DSM‐IV,Cross‐,Multi‐,Both,Outpatients,Unclear,Yes,
Hewett 2009,2009,3,3,bupropion,Yes,188,41.8,*,150‐300,Flexible,*,MADR,S,30.40,12,DSM‐IV,Cross‐,Multi‐,Secondary,Outpatients,Yes,Unclear,
Hewett 2010a,2010,2,2,bupropion,Yes,212,70.9,*,150‐300,Flexible,*,MADR,S,29.50,10,DSM‐IV,Cross‐,Multi‐,Unclear,Outpatients,Unclear,Unclear,
Hewett 2010b,2010,2,3,venlafaxine,No,198,44.1,*,75‐150,Flexible,85,MADR,S,30.10,8,DSM‐IV,Cross‐,Multi‐,Unclear,Outpatients,No,Unclear,
Hicks 1988,1988,2,3,amitriptyline,No,16,42.2,*,25‐300,Flexible,142,HAMD,17,30.8,6,DSM‐III,North,Single,Secondary,Inpatients,Yes,Unclear,
Hicks 2002,2002,2,2,nefazodone,Yes,20,42.8,0.40,400‐600,Flexible,495,HAM,D,21.60,24,DSM‐IV,Europe,Single,Secondary,Outpatients,Unclear,No,
Higuchi 2014,2016,3,3,venlafaxine,Yes,174,38.4,0.52,75‐75,Fixed,75,HAMD,17,*,8,DSM‐IV,Asia,Multi‐,Unclear,Outpatients,Unclear,Unclear,
Higuchi 2009,2009,4,4,duloxetine,Yes,75,37.9,*,40‐40,Flexible,40,HAMD,17,20.60,6,DSM‐IV,Asia,Multi‐,Both,Both,Yes,Yes,
Higuchi 2011,2011,3,3,paroxetine,Yes,83,35.5,*,20‐40,Flexible,*,HAMD,17,22.70,8,DSM‐IV,Asia,Multi‐,Unclear,Unclear,Yes,Unclear,
Hirayasu 2011a,2011,3,3,escitalopram,Yes,105,35.9,*,20‐20,Fixed,20,HAMD,17,22.20,8,DSM‐IV,Asia,Multi‐,Both,Outpatients,No,Yes,
Hirayasu 2011b,2011,4,4,placebo,No,124,36.4,*,0‐0,Fixed,0,MADR,S,29.00,8,DSM‐IV,Asia,Multi‐,Both,Outpatients,Yes,Yes,
Hong 2003,2003,2,2,mirtazapine,Yes,66,47.2,*,30‐45,Flexible,34,HAMD,17,23.10,6,DSM‐IV,Asia,Multi‐,Secondary,Outpatients,Yes,Unclear,
Hormazabal,1985,2,3,amitriptyline,No,20,43.9,*,50‐150,Flexible,86,HAMD,21,36.7,4,DSM‐III,South,Unclear,Unclear,Both,Unclear,Unclear,
Hosseini 2015,2015,2,2,venlafaxine,No,28,37.12,0.75,37.5‐,Other/U,*,HAM,D,19.88,8,DSM‐IV,Asia,Single,Secondary,Outpatients,Unclear,Unclear,
Hoyberg 1996,1996,2,2,mirtazapine,Yes,56,70.3,*,15‐45,Flexible,37,HAMD,17,26.70,6,DSM‐III,Europe,Multi‐,Secondary,Outpatients,No,Yes,
Hsu 2011,2011,2,2,citalopram,No,25,43.4,*,20‐*,Flexible,23,MADR,S,36.60,6,DSM‐IV,Asia,Single,Secondary,Other/Unclea,No,Yes,
Hu 2009,2009,2,2,escitalopram,Unclear,25,30.92,0.52,10‐20,Flexible,*,HAMD,17,21.30,6,Other,Asia,Single,Secondary,Outpatients,Yes,Yes,
Hunter 2010,2010,2,2,fluoxetine,Yes,14,42.4,0.68,20‐20,Fixed,20,HAMD,17,22.10,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Yes,No,
Hunter 2010,2010,2,2,venlafaxine,Yes,17,44.7,0.64,150‐150,Fixed,150,HAMD,17,22.30,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Yes,No,
Hunter 2010,2010,2,2,venlafaxine,Yes,18,38.1,0.55,150‐150,Fixed,150,HAMD,17,21.50,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Yes,No,
Hutchinson,1992,2,2,amitriptyline,No,32,71.5,*,100‐100,Fixed,100,HAMD,21,20.28,6,DSM‐III,Europe,Multi‐,Primary,Outpatients,Yes,Yes,
Itil 1983,1983,2,3,fluvoxamine,Yes,22,41.3,0.43,50‐300,Flexible,101,HAMD,17,20.30,4,RDC,North,Unclear,Unclear,Outpatients,Yes,Yes,
Iwata 2013,2013,2,3,desvenlafaxi,Yes,237,39,0.56,50‐50,Fixed,50,HAMD,17,23,8,DSM‐IV,Cross‐,Multi‐,Unclear,Outpatients,Yes,Unclear,
Jacobsen 2015,2015,3,3,placebo,No,157,42.3,0.70,0‐0,Fixed,0,MADR,S,32.00,8,DSM‐IV,North,Multi‐,Unclear,Unclear,Unclear,Unclear,
"Jain 2013 (303,",2013,2,2,placebo,No,300,42.4,0.55,0‐0,Fixed,0,HAMD,24,32.20,6,DSM‐IV,North,Multi‐,Both,Outpatients,Unclear,No,
Jefferson 2000,2000,4,5,placebo,No,105,40.2,*,0‐0,Fixed,0,MADR,S,31.70,6,DSM‐IV,North,Multi‐,Unclear,Outpatients,No,Unclear,
Jefferson 2006,2006,2,2,placebo,No,139,39.8,*,0‐0,Flexible,0 I,DS‐IVR,‐30,46.00,8,DSM‐IV,North,Multi‐,Secondary,Outpatients,Unclear,Yes,
Jiang 2009,2009,2,2,escitalopram,Unclear,32,38.62,0.56,10‐20,Flexible,*,HAMD,17,23.82,6,Other,Asia,Single,Secondary,Both,Unclear,Yes,
Judd 1993,1993,2,2,fluoxetine,Yes,30,41.7,0.66,20‐20,Fixed,20,HAMD,17,24.40,6,DSM‐,Australia,Multi‐,Unclear,Unclear,Yes,Yes,
Kamijima 2013,2013,3,3,milnacipran,Yes,303,35.9,0.53,100‐100,Fixed,100,HAMD,17,22.10,9,DSM‐IV,Asia,Multi‐,Unclear,Both,Yes,Yes,
Kane 1983,1983,2,4,bupropion,Unclear,13,63.9,*,100‐450,Flexible,323,HAM,D,24.10,4,Other,North,Multi‐,Unclear,Unclear,Yes,Unclear,
Kasper 2005a,2005,3,3,escitalopram,Yes,174,75 (7),*,10‐10,Fixed,10,MADR,S,28.20,8,DSM‐IV,Europe,Multi‐,Both,Both,Yes,Unclear,
Kasper 2005b,2005,2,2,paroxetine,Unclear,53,44.3,0.68,20‐40,Flexible,22,HAMD,17,20.90,6,DSM‐IV,Europe,Multi‐,Unclear,Outpatients,Yes,Yes,
Kasper 2012,2012,2,4,escitalopram,Yes,140,41.6,0.69,20‐20,Fixed,20,MADR,S,35.40,8,DSM‐IV,Europe,Multi‐,Secondary,Both,Unclear,No,
Katona 2012,2012,3,3,placebo,No,145,70.3,0.62,0‐0,Fixed,0,HAMD,24,29.40,8,DSM‐IV,Cross‐,Multi‐,Secondary,Both,Unclear,Unclear,
Katz 1993a,1993,2,3,amitriptyline,No,95,42.6,*,75‐150,Flexible,*,HAMD,17,24.3,4,DSM‐III,Cross‐,Unclear,Unclear,Unclear,Yes,Yes,
Katz 1993b,1993,2,3,amitriptyline,No,93,43.2,*,75‐225,Flexible,*,HAMD,17,23.6,4,DSM‐,Cross‐,Unclear,Unclear,Unclear,Yes,Yes,
Katz 2004,2004,2,3,paroxetine,Unclear,28,46 (*),*,20‐60,Flexible,*,HAMD,21,24.00,6,DSM‐,North,Multi‐,Secondary,Inpatients,Yes,Unclear,
Kavoussi 1997,1997,2,2,bupropion,Yes,122,39.2,0.48,100‐300,Flexible,238,HAM,D,*,16,DSM‐IV,North,Multi‐,Unclear,Outpatients,No,Yes,
Keegan 1991,1991,2,2,fluoxetine,Yes,20,39.5,0.67,20‐80,Flexible,53,HAMD,21,*,6,DSM‐III,North,Multi‐,Unclear,Unclear,Yes,Yes,
Kellams 1979,1979,2,3,trazodone,Unclear,9,*,*,200‐600,Flexible,515,HAM,D,23.50,4,Other,North,Single,Secondary,Inpatients,Yes,Yes,
Keller 2006a,2006,2,3,paroxetine,No,154,39 (*),0.68,20‐20,Fixed,20,HAMD,17,27.50,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Unclear,Unclear,
Keller 2006b,2006,2,4,paroxetine,No,143,42.2,0.75,20‐20,Fixed,20,HAMD,17,27.60,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Unclear,Unclear,
Keller 2006c,2006,2,4,paroxetine,No,164,40.6,0.64,20‐20,Fixed,20,HAMD,17,28.30,8,DSM‐IV,Cross‐,Multi‐,Unclear,Outpatients,Unclear,Unclear,
Keller 2007,2007,2,2,fluoxetine,Unclear,275,40,*,20‐60,Flexible,50,HAMD,17,23.00,10,DSM‐IV,North,Multi‐,Secondary,Outpatients,Unclear,No,
Kennedy 2005,unpublis,2,2,escitalopram,Yes,102,37.1,*,10‐20,Flexible,*,HAM,D,25.90,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Unclear,Unclear,
Kennedy 2008,2003,2,2,agomelatine,Yes,107,42.3,0.65,25‐50,Flexible,*,HAMD,17,26.50,6,DSM‐IV,Cross‐,Multi‐,Secondary,Both,No,No,
Kennedy 2014,2014,3,4,agomelatine,Yes,138,46.5,0.65,25‐25,Fixed,25,HAMD,17,26.70,6,DSM‐IV,Cross‐,Multi‐,Unclear,Outpatients,Unclear,No,
Kerkhofs 1990,1990,2,2,fluoxetine,Yes,16,45.3,0.69,60‐60,Fixed,60,HAM,D,21.90,6,RDC,Europe,Unclear,Unclear,Other/Unclea,Yes,Yes,
Kerr 1984,1984,2,2,amitriptyline,No,38,62.5(,0.62,75‐225,Flexible,*,HAMD,17,19.00,6,Other,Europe,Multi‐,Secondary,Both,Unclear,Unclear,
Khan 1998,1998,4,4,venlafaxine,Yes,85,43.3,0.68,75‐75,Fixed,75,HAMD,21,24.30,12,DSM‐,North,Multi‐,Unclear,Outpatients,yes,unclear,
Khan 2007,2007,2,2,escitalopram,Yes,140,41.8,*,10‐20,Flexible,*,HAMD,24,26.60,8,DSM‐IV,North,Multi‐,Unclear,Outpatients,Unclear,Unclear,
Khan 2011,2011,2,2,vilazodone,Yes,240,41.1,*,40‐40,Fixed,40,HAMD,17,25.00,8,DSM‐IV,North,Multi‐,Other/Unc,Other/Unclea,Unclear,Unclear,
Kiev 1997,1997,2,2,fluvoxamine,Yes,30,42.7,*,50‐150,Flexible,102,HAMD,21,24.40,7,DSM‐,North,Multi‐,Secondary,Outpatients,Yes,Yes,
Kinoshita 2009,2009,4,4,mirtazapine,Yes,70,39.4,*,15‐15,Fixed,15,HAMD,17,23.20,6,DSM‐IV,Asia,Multi‐,Both,Both,No,No,
Koshino 2013,2013,2,3,bupropion,Yes,192,37.5,0.56,300‐300,Fixed,300,MADR,S,32.10,8,DSM‐IV,Asia,Multi‐,Secondary,Other/Unclea,Unclear,Unclear,
Kramer 1998,1998,2,3,paroxetine,Unclear,72,*,*,20‐20,Fixed,20,HAMD,21,*,6,DSM‐IV,North,Multi‐,Other/Unc,Outpatients,Unclear,Unclear,
Kuhs 1989,1989,2,2,paroxetine,Yes,12,39.2,0.9,30‐30,Fixed,30,HAMD,21,24.60,6,DSM‐III,Europe,Single,Other/Unc,Other/Unclea,Yes,Unclear,
Kusalic 1993,1993,2,3,amitriptyline,No,13,41.3,*,*‐*,Flexible,110,HAMD,17,*,6,DSM‐,North,Unclear,Secondary,Outpatients,Yes,Unclear,
Kyle 1998,1998,2,2,citalopram,Yes,179,73.4,0.73,20‐40,Flexible,24,MADR,S,27.8,8,DSM‐,Europe,Multi‐,Primary,Other/Unclea,Yes,Unclear,
Laakman 1988,1988,2,2,fluoxetine,Unclear,63,*,*,20‐60,Flexible,*,HAM,D,26.7,5,Other,Europe,Unclear,Other/Unc,Outpatients,Yes,Yes,
