"prior","agent","sucra"
"U(0, 2)","agomelatine_20",0.551714285714286
"U(0, 2)","amitriptyline_20",0.498333333333333
"U(0, 2)","bupropion_20",0.70815873015873
"U(0, 2)","citalopram_20",0.626555555555556
"U(0, 2)","clomipramine_20",0.386365079365079
"U(0, 2)","desvenlafaxine_20",0.587587301587302
"U(0, 2)","duloxetine_20",0.122873015873016
"U(0, 2)","escitalopram_20",0.286126984126984
"U(0, 2)","fluoxetine_20",0.489269841269841
"U(0, 2)","fluvoxamine_20",0.914444444444444
"U(0, 2)","levomilnacipran_20",0.34152380952381
"U(0, 2)","milnacipran_20",0.577507936507937
"U(0, 2)","mirtazapine_20",0.231873015873016
"U(0, 2)","nefazodone_20",0.633793650793651
"U(0, 2)","paroxetine_20",0.408825396825397
"U(0, 2)","reboxetine_20",0.010047619047619
"U(0, 2)","sertraline_20",0.922238095238095
"U(0, 2)","trazodone_20",0.369746031746032
"U(0, 2)","venlafaxine_20",0.667888888888889
"U(0, 2)","vilazodone_20",0.445365079365079
"U(0, 2)","vortioxetine_20",0.307063492063492
"U(0, 5)","agomelatine_20",0.548777777777778
"U(0, 5)","amitriptyline_20",0.496571428571429
"U(0, 5)","bupropion_20",0.697365079365079
"U(0, 5)","citalopram_20",0.622968253968254
"U(0, 5)","clomipramine_20",0.394126984126984
"U(0, 5)","desvenlafaxine_20",0.578746031746032
"U(0, 5)","duloxetine_20",0.119809523809524
"U(0, 5)","escitalopram_20",0.280333333333333
"U(0, 5)","fluoxetine_20",0.497269841269841
"U(0, 5)","fluvoxamine_20",0.912936507936508
"U(0, 5)","levomilnacipran_20",0.332857142857143
"U(0, 5)","milnacipran_20",0.582793650793651
"U(0, 5)","mirtazapine_20",0.241174603174603
"U(0, 5)","nefazodone_20",0.637857142857143
"U(0, 5)","paroxetine_20",0.404555555555556
"U(0, 5)","reboxetine_20",0.00880952380952375
"U(0, 5)","sertraline_20",0.925428571428571
"U(0, 5)","trazodone_20",0.386952380952381
"U(0, 5)","venlafaxine_20",0.669190476190476
"U(0, 5)","vilazodone_20",0.443015873015873
"U(0, 5)","vortioxetine_20",0.30731746031746
"U(0, 10)","agomelatine_20",0.550428571428571
"U(0, 10)","amitriptyline_20",0.492444444444444
"U(0, 10)","bupropion_20",0.699650793650794
"U(0, 10)","citalopram_20",0.627047619047619
"U(0, 10)","clomipramine_20",0.378539682539683
"U(0, 10)","desvenlafaxine_20",0.582904761904762
"U(0, 10)","duloxetine_20",0.123825396825397
"U(0, 10)","escitalopram_20",0.287761904761905
"U(0, 10)","fluoxetine_20",0.492619047619048
"U(0, 10)","fluvoxamine_20",0.911238095238095
"U(0, 10)","levomilnacipran_20",0.334619047619048
"U(0, 10)","milnacipran_20",0.578507936507937
"U(0, 10)","mirtazapine_20",0.243460317460317
"U(0, 10)","nefazodone_20",0.625301587301587
"U(0, 10)","paroxetine_20",0.41031746031746
"U(0, 10)","reboxetine_20",0.00788888888888889
"U(0, 10)","sertraline_20",0.923460317460317
"U(0, 10)","trazodone_20",0.380904761904762
"U(0, 10)","venlafaxine_20",0.66968253968254
"U(0, 10)","vilazodone_20",0.45231746031746
"U(0, 10)","vortioxetine_20",0.312873015873016
"HN(0, 0.5)","agomelatine_20",0.549285714285714
"HN(0, 0.5)","amitriptyline_20",0.501285714285714
"HN(0, 0.5)","bupropion_20",0.714349206349206
"HN(0, 0.5)","citalopram_20",0.626968253968254
"HN(0, 0.5)","clomipramine_20",0.380396825396825
"HN(0, 0.5)","desvenlafaxine_20",0.581126984126984
"HN(0, 0.5)","duloxetine_20",0.119936507936508
"HN(0, 0.5)","escitalopram_20",0.283507936507937
"HN(0, 0.5)","fluoxetine_20",0.484444444444444
"HN(0, 0.5)","fluvoxamine_20",0.914063492063492
"HN(0, 0.5)","levomilnacipran_20",0.347555555555556
"HN(0, 0.5)","milnacipran_20",0.581142857142857
"HN(0, 0.5)","mirtazapine_20",0.24447619047619
"HN(0, 0.5)","nefazodone_20",0.628444444444444
"HN(0, 0.5)","paroxetine_20",0.406079365079365
"HN(0, 0.5)","reboxetine_20",0.00817460317460318
"HN(0, 0.5)","sertraline_20",0.922095238095238
"HN(0, 0.5)","trazodone_20",0.370222222222222
"HN(0, 0.5)","venlafaxine_20",0.665047619047619
"HN(0, 0.5)","vilazodone_20",0.44931746031746
"HN(0, 0.5)","vortioxetine_20",0.308142857142857
"HN(0, 1)","agomelatine_20",0.545428571428571
"HN(0, 1)","amitriptyline_20",0.494253968253968
"HN(0, 1)","bupropion_20",0.706365079365079
"HN(0, 1)","citalopram_20",0.624523809523809
"HN(0, 1)","clomipramine_20",0.378857142857143
"HN(0, 1)","desvenlafaxine_20",0.583920634920635
"HN(0, 1)","duloxetine_20",0.122142857142857
"HN(0, 1)","escitalopram_20",0.288365079365079
"HN(0, 1)","fluoxetine_20",0.488142857142857
"HN(0, 1)","fluvoxamine_20",0.911079365079365
"HN(0, 1)","levomilnacipran_20",0.341666666666667
"HN(0, 1)","milnacipran_20",0.577460317460317
"HN(0, 1)","mirtazapine_20",0.237253968253968
"HN(0, 1)","nefazodone_20",0.649603174603175
"HN(0, 1)","paroxetine_20",0.409698412698413
"HN(0, 1)","reboxetine_20",0.00761904761904763
"HN(0, 1)","sertraline_20",0.922571428571428
"HN(0, 1)","trazodone_20",0.380714285714286
"HN(0, 1)","venlafaxine_20",0.664698412698413
"HN(0, 1)","vilazodone_20",0.448190476190476
"HN(0, 1)","vortioxetine_20",0.304809523809524
"HN(0, 2)","agomelatine_20",0.553301587301587
"HN(0, 2)","amitriptyline_20",0.50252380952381
"HN(0, 2)","bupropion_20",0.702619047619048
"HN(0, 2)","citalopram_20",0.623428571428571
"HN(0, 2)","clomipramine_20",0.373666666666667
"HN(0, 2)","desvenlafaxine_20",0.586190476190476
"HN(0, 2)","duloxetine_20",0.123206349206349
"HN(0, 2)","escitalopram_20",0.284571428571429
"HN(0, 2)","fluoxetine_20",0.489
"HN(0, 2)","fluvoxamine_20",0.910984126984127
"HN(0, 2)","levomilnacipran_20",0.33468253968254
"HN(0, 2)","milnacipran_20",0.587380952380952
"HN(0, 2)","mirtazapine_20",0.241380952380952
"HN(0, 2)","nefazodone_20",0.627095238095238
"HN(0, 2)","paroxetine_20",0.406301587301587
"HN(0, 2)","reboxetine_20",0.00680952380952384
"HN(0, 2)","sertraline_20",0.924079365079365
"HN(0, 2)","trazodone_20",0.384142857142857
"HN(0, 2)","venlafaxine_20",0.667190476190476
"HN(0, 2)","vilazodone_20",0.44831746031746
"HN(0, 2)","vortioxetine_20",0.310174603174603
"HC(0, 0.5)","agomelatine_20",0.551666666666667
"HC(0, 0.5)","amitriptyline_20",0.495873015873016
"HC(0, 0.5)","bupropion_20",0.696904761904762
"HC(0, 0.5)","citalopram_20",0.624523809523809
"HC(0, 0.5)","clomipramine_20",0.38852380952381
"HC(0, 0.5)","desvenlafaxine_20",0.586492063492064
"HC(0, 0.5)","duloxetine_20",0.121126984126984
"HC(0, 0.5)","escitalopram_20",0.281603174603175
"HC(0, 0.5)","fluoxetine_20",0.486380952380952
"HC(0, 0.5)","fluvoxamine_20",0.915857142857143
"HC(0, 0.5)","levomilnacipran_20",0.336190476190476
"HC(0, 0.5)","milnacipran_20",0.579666666666667
"HC(0, 0.5)","mirtazapine_20",0.244238095238095
"HC(0, 0.5)","nefazodone_20",0.630825396825397
"HC(0, 0.5)","paroxetine_20",0.412666666666667
"HC(0, 0.5)","reboxetine_20",0.0077301587301587
"HC(0, 0.5)","sertraline_20",0.922730158730159
"HC(0, 0.5)","trazodone_20",0.381460317460317
"HC(0, 0.5)","venlafaxine_20",0.667460317460317
"HC(0, 0.5)","vilazodone_20",0.445444444444444
"HC(0, 0.5)","vortioxetine_20",0.311
"LN(-2.34, 1.62^2)","agomelatine_20",0.546777777777778
"LN(-2.34, 1.62^2)","amitriptyline_20",0.502380952380952
"LN(-2.34, 1.62^2)","bupropion_20",0.704444444444444
"LN(-2.34, 1.62^2)","citalopram_20",0.624904761904762
"LN(-2.34, 1.62^2)","clomipramine_20",0.384634920634921
"LN(-2.34, 1.62^2)","desvenlafaxine_20",0.589777777777778
"LN(-2.34, 1.62^2)","duloxetine_20",0.121746031746032
"LN(-2.34, 1.62^2)","escitalopram_20",0.285111111111111
"LN(-2.34, 1.62^2)","fluoxetine_20",0.488190476190476
"LN(-2.34, 1.62^2)","fluvoxamine_20",0.915
"LN(-2.34, 1.62^2)","levomilnacipran_20",0.335507936507937
"LN(-2.34, 1.62^2)","milnacipran_20",0.578507936507937
"LN(-2.34, 1.62^2)","mirtazapine_20",0.248079365079365
"LN(-2.34, 1.62^2)","nefazodone_20",0.630746031746032
"LN(-2.34, 1.62^2)","paroxetine_20",0.404952380952381
"LN(-2.34, 1.62^2)","reboxetine_20",0.00953968253968253
"LN(-2.34, 1.62^2)","sertraline_20",0.924698412698413
"LN(-2.34, 1.62^2)","trazodone_20",0.370444444444444
"LN(-2.34, 1.62^2)","venlafaxine_20",0.669253968253968
"LN(-2.34, 1.62^2)","vilazodone_20",0.442952380952381
"LN(-2.34, 1.62^2)","vortioxetine_20",0.309904761904762
